Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Iraq,IRQ,116.09,97.5,110.77,111.2,123.87,118.76,64.92,66.64,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Ireland,IRL,98.68,107.63,102.53,96.55,100.65,102.7,109.01,110.02,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Israel,ISR,72.63,87.65,105.77,108.92,108.83,110.36,106.64,109.69,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Italy,ITA,89.54,98.8,96.32,92.67,91.5,87.83,93.4,92.59,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Jamaica,JAM,89.51,97.62,101.96,103.69,102.97,102.72,101.63,105.58,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Japan,JPN,114,103.58,95.79,97.4,97.02,96.87,95.79,92.18,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Jordan,JOR,57.17,77.15,129.53,128,133.02,134.89,150.33,145.5,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Kazakhstan,KAZ,..,78.38,141.43,108.33,123.36,125.25,131.29,141.39,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Kenya,KEN,63.96,72.01,117.21,122.7,126.12,125.11,128.23,125.56,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Kiribati,KIR,52.63,74.46,60.58,60.58,60.05,60.49,60.53,60.39,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,"Korea, Dem. People’s Rep.",PRK,91.54,84.39,99.07,102.4,102.59,101.03,104.15,100.79,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,"Korea, Rep.",KOR,79.29,103.51,98.02,99.3,103.61,106.12,104.3,102.84,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Kuwait,KWT,47.57,77.2,173.82,175.3,196.62,190.2,191.25,191.59,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Kyrgyz Republic,KGZ,..,94.5,105.99,104.38,106.3,106.47,114.32,117.81,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Lao PDR,LAO,48.47,81.85,138.93,146.92,155.88,182.64,202.98,211.35,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Latvia,LVA,..,83.66,117.08,137.28,137.82,136.63,168.83,151.72,..,..,..,..
