Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Senegal,SEN,74.89,91.53,123.98,127.08,131,124.99,124.76,125.22,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Serbia,SRB,..,..,102.36,101.94,100.77,100.57,102.89,100.86,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Seychelles,SYC,126.06,175.17,110.21,107.99,112.14,117.27,106.06,103.36,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Sierra Leone,SLE,62.77,75.29,193.88,197.88,198.08,198.63,203.55,214.46,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Singapore,SGP,561.21,71.83,97.4,101.18,108.83,107.77,105.32,111.93,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Slovak Republic,SVK,..,103.16,78,75.55,77.15,75.71,76.04,76.9,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Slovenia,SVN,..,92.22,91.08,90.91,87.13,86.56,88.09,89.62,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Solomon Islands,SLB,72.48,90.38,105.01,105.97,105.94,106.02,106.18,106.31,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Somalia,SOM,87.76,91.36,110.78,110.8,118.02,111.8,110.71,110.21,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,South Africa,ZAF,79.79,87.93,125.24,127.76,129.26,129.49,131.92,131.1,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Spain,ESP,72.14,95.35,102.68,101.27,100.81,101.63,101.78,95.35,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Sri Lanka,LKA,75.03,88.53,112.13,131.54,133.75,131,117.06,112.83,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,St. Kitts and Nevis,KNA,124.74,128.7,77.58,82.26,84.81,85.23,81.18,84.52,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,St. Lucia,LCA,77.94,77.23,125.68,127.24,127.38,127.7,126.95,127.08,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,St. Vincent and the Grenadines,VCT,109.63,103.18,104.6,100.9,104,98.38,96.6,99.04,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Sudan,SDN,43.79,82.89,104.14,..,..,..,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Suriname,SUR,162.6,89.61,133.14,139.33,115.21,114.19,117.64,125.11,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Sweden,SWE,103.32,102.97,94.99,91.93,92.99,93.67,93.14,92.6,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Switzerland,CHE,103.95,97.36,108.05,107.52,106.65,107.59,107.64,106,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Syrian Arab Republic,SYR,52.6,74.92,96.27,91.46,84.53,83.27,80.76,82.36,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Tajikistan,TJK,..,64.07,129.52,133.33,154.22,144.69,150.88,128.04,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Tanzania,TZA,67.73,89.14,128.34,136.33,141.01,144.77,146.41,132.78,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Thailand,THA,79.91,94.84,126.05,134.7,131.48,132.07,131.98,131.25,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Timor-Leste,TLS,108.87,87.4,119.54,122.78,114.55,114.43,114.17,113.83,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Togo,TGO,54.56,81.59,132.95,130.6,136.37,139.06,142.51,143.11,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Tonga,TON,94.54,100.59,104.42,107.14,107.28,107.39,106.63,106.72,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Trinidad and Tobago,TTO,54.81,75.08,117.19,119.26,120.84,120.85,120.62,120.58,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Tunisia,TUN,58.66,100.33,111.67,117.38,120.52,124.7,130.71,131.16,..,..,..,..
